date,regime
20210830,bull
20210831,bull
20210901,bull
20210902,bull
20210903,bull
20210906,bull
20210907,bull
20210908,bull
20210909,bull
20210910,bull
20210913,bull
20210914,bull
20210915,bull
20210916,bull
20210917,sideways
20210922,sideways
20210923,sideways
20210924,sideways
20210927,sideways
20210928,sideways
20210929,sideways
20210930,sideways
20211008,sideways
20211011,sideways
20211012,sideways
20211013,sideways
20211014,sideways
20211015,sideways
20211018,sideways
20211019,bull
20211020,bull
20211021,bull
20211022,bull
20211025,bull
20211026,bull
20211027,bull
20211028,sideways
20211029,bull
20211101,sideways
20211102,sideways
20211103,sideways
20211104,sideways
20211105,sideways
20211108,sideways
20211109,sideways
20211110,sideways
20211111,sideways
20211112,bull
20211115,sideways
20211116,sideways
20211117,sideways
20211118,bull
20211119,bull
20211122,bull
20211123,bull
20211124,bull
20211125,bull
20211126,bull
20211129,bull
20211130,bull
20211201,bull
20211202,bull
20211203,bull
20211206,bull
20211207,bear
20211208,bull
20211209,bull
20211210,bull
20211213,bull
20211214,bull
20211215,bull
20211216,bull
20211217,bull
20211220,bear
20211221,bear
20211222,bear
20211223,bear
20211224,bear
20211227,bear
20211228,bear
20211229,bear
20211230,bear
20211231,bear
20220104,bear
20220105,bear
20220106,bear
20220107,bear
20220110,bear
20220111,bear
20220112,bear
20220113,bear
20220114,bear
20220117,bear
20220118,bear
20220119,bear
20220120,bear
20220121,bear
20220124,bear
20220125,bear
20220126,bear
20220127,bear
20220128,bear
20220207,bear
20220208,bear
20220209,bear
20220210,bear
20220211,bear
20220214,bear
20220215,bear
20220216,bear
20220217,bear
20220218,sideways
20220221,sideways
20220222,sideways
20220223,sideways
20220224,sideways
20220225,sideways
20220228,sideways
20220301,sideways
20220302,sideways
20220303,sideways
20220304,sideways
20220307,sideways
20220308,bear
20220309,bear
20220310,bear
20220311,bear
20220314,bear
20220315,bear
20220316,bear
20220317,bear
20220318,bear
20220321,bear
20220322,bear
20220323,bear
20220324,bear
20220325,bear
20220328,bear
20220329,bear
20220330,bear
20220331,bear
20220401,bear
20220406,bear
20220407,bear
20220408,bear
20220411,bear
20220412,bear
20220413,bear
20220414,bear
20220415,bear
20220418,bear
20220419,bear
20220420,bear
20220421,bear
20220422,bear
20220425,bear
20220426,bear
20220427,bear
20220428,bear
20220429,bear
20220505,bear
20220506,bear
20220509,sideways
20220510,sideways
20220511,sideways
20220512,sideways
20220513,sideways
20220516,sideways
20220517,sideways
20220518,sideways
20220519,sideways
20220520,sideways
20220523,sideways
20220524,sideways
20220525,sideways
20220526,sideways
20220527,sideways
20220530,sideways
20220531,sideways
20220601,sideways
20220602,sideways
20220606,sideways
20220607,sideways
20220608,sideways
20220609,sideways
20220610,sideways
20220613,sideways
20220614,sideways
20220615,sideways
20220616,sideways
20220617,sideways
20220620,sideways
20220621,sideways
20220622,sideways
20220623,sideways
20220624,sideways
20220627,sideways
20220628,sideways
20220629,sideways
20220630,sideways
20220701,sideways
20220704,sideways
20220705,sideways
20220706,sideways
20220707,sideways
20220708,sideways
20220711,sideways
20220712,sideways
20220713,sideways
20220714,sideways
20220715,sideways
20220718,sideways
20220719,sideways
20220720,sideways
20220721,sideways
20220722,sideways
20220725,bull
20220726,bull
20220727,bull
20220728,bull
20220729,sideways
20220801,bull
20220802,sideways
20220803,sideways
20220804,bull
20220805,sideways
20220808,sideways
20220809,bull
20220810,bull
20220811,bull
20220812,bull
20220815,bull
20220816,bull
20220817,bull
20220818,bull
20220819,bull
20220822,bull
20220823,bull
20220824,bull
20220825,sideways
20220826,sideways
20220829,sideways
20220830,sideways
20220831,sideways
20220901,sideways
20220902,sideways
20220905,sideways
20220906,sideways
20220907,sideways
20220908,sideways
20220909,sideways
20220913,sideways
20220914,sideways
20220915,sideways
20220916,sideways
20220919,sideways
20220920,sideways
20220921,sideways
20220922,sideways
20220923,sideways
20220926,sideways
20220927,sideways
20220928,sideways
20220929,sideways
20220930,sideways
20221010,sideways
20221011,sideways
20221012,sideways
20221013,sideways
20221014,sideways
20221017,sideways
20221018,sideways
20221019,sideways
20221020,sideways
20221021,sideways
20221024,sideways
20221025,sideways
20221026,sideways
20221027,sideways
20221028,sideways
20221031,bear
20221101,sideways
20221102,sideways
20221103,sideways
20221104,bull
20221107,bull
20221108,sideways
20221109,sideways
20221110,sideways
20221111,sideways
20221114,sideways
20221115,sideways
20221116,sideways
20221117,sideways
20221118,sideways
20221121,sideways
20221122,bear
20221123,bear
20221124,bear
20221125,bear
20221128,bear
20221129,bear
20221130,bear
20221201,bear
20221202,bear
20221205,sideways
20221206,sideways
20221207,sideways
20221208,sideways
20221209,sideways
20221212,bear
20221213,bear
20221214,bear
20221215,bear
20221216,bear
20221219,bear
20221220,bear
20221221,bear
20221222,bear
20221223,bear
20221226,bear
20221227,bear
20221228,bear
20221229,bear
20221230,bear
20230103,sideways
20230104,sideways
20230105,sideways
20230106,sideways
20230109,sideways
20230110,sideways
20230111,sideways
20230112,sideways
20230113,sideways
20230116,sideways
20230117,sideways
20230118,sideways
20230119,sideways
20230120,sideways
20230130,sideways
20230131,sideways
20230201,sideways
20230202,sideways
20230203,sideways
20230206,sideways
20230207,sideways
20230208,sideways
20230209,bull
20230210,bull
20230213,bull
20230214,bull
20230215,bull
20230216,sideways
20230217,bear
20230220,sideways
20230221,bear
20230222,bear
20230223,sideways
20230224,sideways
20230227,bear
20230228,bear
20230301,bear
20230302,bear
20230303,bear
20230306,bear
20230307,bear
20230308,bear
20230309,bear
20230310,bear
20230313,bear
20230314,bear
20230315,bear
20230316,bear
20230317,bear
20230320,bear
20230321,bear
20230322,bear
20230323,bear
20230324,bear
20230327,bear
20230328,bear
20230329,bear
20230330,bear
20230331,bull
20230403,bull
20230404,bull
20230406,bull
20230407,bull
20230410,bull
20230411,bull
20230412,bull
20230413,bull
20230414,bull
20230417,bull
20230418,bull
20230419,bull
20230420,bull
20230421,sideways
20230424,sideways
20230425,bear
20230426,bear
20230427,bear
20230428,bear
20230504,bear
20230505,bear
20230508,bear
20230509,bear
20230510,bear
20230511,bear
20230512,bear
20230515,sideways
20230516,sideways
20230517,sideways
20230518,sideways
20230519,sideways
20230522,sideways
20230523,sideways
20230524,sideways
20230525,sideways
20230526,bear
20230530,bear
20230531,bear
20230601,bear
20230602,bear
20230605,bear
20230606,bear
20230607,bear
20230608,bear
20230609,bear
20230612,bear
20230613,bear
20230614,bear
20230615,sideways
20230616,bull
20230619,bull
20230620,sideways
20230621,sideways
20230626,sideways
20230627,sideways
20230628,bear
20230629,bear
20230630,sideways
20230703,sideways
20230704,sideways
20230705,sideways
20230706,sideways
20230707,sideways
20230710,sideways
20230711,sideways
20230712,bear
20230713,sideways
20230717,bear
20230718,bear
20230719,bear
20230720,bear
20230721,bear
20230724,bear
20230725,bear
20230726,bear
20230727,bear
20230728,bear
20230731,bear
20230801,bear
20230802,bear
20230803,bear
20230804,bear
20230807,bear
20230808,bear
20230809,bear
20230810,bear
20230811,bear
20230814,bear
20230815,bear
20230816,bear
20230817,bear
20230818,bear
20230821,bear
20230822,bear
20230823,bear
20230824,bear
20230825,bear
20230828,bear
20230829,bear
20230830,bear
20230831,bear
20230901,sideways
20230904,sideways
20230905,sideways
20230906,sideways
20230907,sideways
20230908,bear
20230911,bear
20230913,bear
20230914,bear
20230915,bear
20230918,bear
20230919,bear
20230920,bear
20230921,bear
20230922,bear
20230925,bear
20230926,bear
20230927,bear
20230928,sideways
20231009,sideways
20231010,sideways
20231011,sideways
20231012,sideways
20231013,sideways
20231016,bear
20231017,bear
20231018,bear
20231019,bear
20231020,bear
20231023,bear
20231024,bear
20231025,bear
20231026,bear
20231027,bear
20231030,bear
20231031,sideways
20231101,sideways
20231102,sideways
20231103,sideways
20231106,sideways
20231107,sideways
20231108,sideways
20231109,sideways
20231110,sideways
20231113,sideways
20231114,sideways
20231115,sideways
20231116,sideways
20231117,sideways
20231120,sideways
20231121,sideways
20231122,bear
20231123,sideways
20231124,bear
20231127,bear
20231128,bear
20231130,bear
20231201,bear
20231204,bear
20231205,bear
20231206,bear
20231207,bear
20231208,bear
20231211,bear
20231212,bear
20231213,bear
20231214,bear
20231215,bear
20231218,bear
20231219,bear
20231220,bear
20231221,bear
20231222,bear
20231225,bear
20231226,bear
20231227,bear
20231228,bear
20231229,sideways
20240102,sideways
20240104,sideways
20240105,bear
20240108,bear
20240109,bear
20240110,bear
20240111,bear
20240112,bear
20240115,bear
20240116,bear
20240117,bear
20240118,bear
20240119,bear
20240122,bear
20240123,bear
20240124,bear
20240125,bear
20240126,bear
20240129,bear
20240130,bear
20240131,bear
20240201,bear
20240202,bear
20240205,bear
20240206,bear
20240207,bear
20240208,bear
20240219,sideways
20240220,sideways
20240221,sideways
20240222,sideways
20240223,sideways
20240226,sideways
20240227,sideways
20240228,sideways
20240229,sideways
20240301,sideways
20240304,sideways
20240305,sideways
20240306,sideways
20240307,sideways
20240308,sideways
20240311,sideways
20240312,sideways
20240313,sideways
20240314,sideways
20240318,sideways
20240319,sideways
20240320,sideways
20240321,sideways
20240322,sideways
20240325,sideways
20240326,bear
20240327,bear
20240328,bear
20240329,bear
20240401,sideways
20240402,sideways
20240403,sideways
20240408,bear
20240409,bear
20240411,bear
20240412,bear
20240415,bear
20240416,bear
20240422,bear
20240423,bear
20240424,bear
20240425,bear
20240426,sideways
20240429,sideways
20240430,sideways
20240506,sideways
20240507,sideways
20240508,sideways
20240509,sideways
20240510,sideways
20240513,sideways
20240514,sideways
20240515,sideways
20240516,bear
20240517,bull
20240520,bull
20240521,sideways
20240522,bull
20240523,sideways
20240524,bear
20240527,bear
20240528,bear
20240529,bear
20240530,sideways
20240531,sideways
20240603,sideways
