regime,start,end,days
bull,20210830,20210916,18
sideways,20210917,20211018,32
bull,20211019,20211027,9
sideways,20211028,20211028,1
bull,20211029,20211029,1
sideways,20211101,20211111,11
bull,20211112,20211112,1
sideways,20211115,20211117,3
bull,20211118,20211206,19
bear,20211207,20211207,1
bull,20211208,20211217,10
bear,20211220,20220217,60
sideways,20220218,20220307,18
bear,20220308,20220506,60
sideways,20220509,20220722,75
bull,20220725,20220728,4
sideways,20220729,20220729,1
bull,20220801,20220801,1
sideways,20220802,20220803,2
bull,20220804,20220804,1
sideways,20220805,20220808,4
bull,20220809,20220824,16
sideways,20220825,20221028,65
bear,20221031,20221031,1
sideways,20221101,20221103,3
bull,20221104,20221107,4
sideways,20221108,20221121,14
bear,20221122,20221202,11
sideways,20221205,20221209,5
bear,20221212,20221230,19
sideways,20230103,20230208,37
bull,20230209,20230215,7
sideways,20230216,20230216,1
bear,20230217,20230217,1
sideways,20230220,20230220,1
bear,20230221,20230222,2
sideways,20230223,20230224,2
bear,20230227,20230330,32
bull,20230331,20230420,21
sideways,20230421,20230424,4
bear,20230425,20230512,18
sideways,20230515,20230525,11
bear,20230526,20230614,20
sideways,20230615,20230615,1
bull,20230616,20230619,4
sideways,20230620,20230627,8
bear,20230628,20230629,2
sideways,20230630,20230711,12
bear,20230712,20230712,1
sideways,20230713,20230713,1
bear,20230717,20230831,46
sideways,20230901,20230907,7
bear,20230908,20230927,20
sideways,20230928,20231013,16
bear,20231016,20231030,15
sideways,20231031,20231121,22
bear,20231122,20231122,1
sideways,20231123,20231123,1
bear,20231124,20231228,35
sideways,20231229,20240104,7
bear,20240105,20240208,35
sideways,20240219,20240325,36
bear,20240326,20240329,4
sideways,20240401,20240403,3
bear,20240408,20240425,18
sideways,20240426,20240515,20
bear,20240516,20240516,1
bull,20240517,20240520,4
sideways,20240521,20240521,1
bull,20240522,20240522,1
sideways,20240523,20240523,1
bear,20240524,20240529,6
sideways,20240530,20240619,21
bear,20240620,20240718,29
sideways,20240719,20240724,6
bear,20240725,20240730,6
sideways,20240731,20240802,3
bear,20240805,20240910,37
sideways,20240911,20240912,2
bear,20240913,20240918,6
sideways,20240919,20241105,48
bull,20241106,20241113,8
sideways,20241114,20241210,27
bull,20241211,20241213,3
sideways,20241216,20250205,52
bull,20250206,20250228,23
sideways,20250303,20250303,1
bull,20250304,20250319,16
sideways,20250320,20250320,1
bear,20250321,20250418,29
sideways,20250421,20250423,3
bear,20250424,20250429,6
sideways,20250430,20250506,7
bull,20250507,20250508,2
sideways,20250509,20250509,1
bull,20250512,20250514,3
sideways,20250515,20250527,13
bear,20250528,20250528,1
sideways,20250529,20250605,8
bull,20250606,20250606,1
sideways,20250609,20250613,5
bull,20250616,20250619,4
sideways,20250620,20250620,1
bull,20250623,20250710,18
sideways,20250711,20250717,7
bull,20250718,20250909,54
sideways,20250910,20250910,1
bull,20250911,20250925,15
sideways,20250926,20250929,4
bull,20250930,20251010,11
sideways,20251013,20251024,12
bull,20251027,20251103,8
sideways,20251104,20251111,8
