ts_code,trade_date,close,pct_chg,score,volume_ratio,structure,ma10,ma20,macd_dif,macd_dea,rsi6,boll_mid,turnover,avg_turnover_5,atr_ratio,price_vs_ma20,tier,ma5,kdj_k,kdj_d,wr1,wr2,regime,entry_price,ret_1,ret_3,ret_5
159755.SZ,20210917.000000,1.320000,0.994600,3,,,1.326000,1.324200,,,48.241734,,174636.855000,225970.728800,0.041071,-0.003172,C,1.332800,58.027723,63.023390,40.259740,61.386138,sideways,1.320000,-0.010606,-0.010606,-0.059848
159755.SZ,20210922.000000,1.306000,-1.060600,4,,,1.327700,1.324200,,,43.727271,,101290.413000,221642.177200,0.041074,-0.013744,B,1.331000,46.935974,57.660918,74.509803,75.247524,sideways,1.306000,0.001531,-0.027565,-0.078867
159780.SZ,20211011.000000,0.852000,-1.956300,3,,,0.859700,0.855900,,,41.934250,,387772.935000,389740.931200,0.021881,-0.004557,C,0.862800,57.727872,62.830146,54.545454,93.749997,sideways,0.852000,-0.017606,-0.001174,0.007042
159781.SZ,20211011.000000,0.844000,-2.201600,4,,,0.852300,0.848200,,,41.545147,,743085.485000,707825.545400,0.023020,-0.004952,B,0.855800,55.853141,60.927952,57.142856,96.969694,sideways,0.844000,-0.015403,0.002370,0.008294
159783.SZ,20211011.000000,0.859000,-1.716200,3,,,0.865100,0.861150,,,43.374162,,543405.108000,525898.488000,0.022119,-0.002497,C,0.868600,58.639318,62.867411,51.851851,87.499997,sideways,0.859000,-0.019790,-0.001164,0.004657
159780.SZ,20211013.000000,0.854000,2.031100,5,,,0.858900,0.855200,,,48.412966,,406145.034000,406166.561000,0.021914,-0.001403,A,0.856800,43.303891,51.782877,54.901960,53.061223,sideways,0.854000,-0.003513,0.004684,0.008197
159781.SZ,20211013.000000,0.847000,1.925400,6,,,0.851700,0.847700,,,48.524499,,787510.784000,734663.982400,0.022854,-0.000826,A,0.849800,42.558661,50.537001,55.769230,53.061223,sideways,0.847000,-0.001181,0.004723,0.007084
159783.SZ,20211013.000000,0.861000,2.256500,3,,,0.864300,0.860550,,,49.575794,,553645.520000,548816.278200,0.022399,0.000523,C,0.862800,45.016167,52.505227,50.980391,48.979591,sideways,0.861000,-0.003484,0.002323,0.006969
159780.SZ,20211014.000000,0.851000,-0.351300,5,,,0.858800,0.854300,,,46.090859,,328984.383000,382174.543800,0.021571,-0.003863,B,0.852600,41.941156,48.502303,60.784313,59.183672,sideways,0.851000,0.015276,0.017626,0.007051
159781.SZ,20211014.000000,0.846000,-0.118100,5,,,0.851900,0.847000,,,47.701119,,643781.835000,726098.365200,0.022290,-0.001181,A,0.846200,42.475004,47.849668,57.692307,55.102040,sideways,0.846000,0.013002,0.016548,0.003546
159783.SZ,20211014.000000,0.858000,-0.348400,5,,,0.864400,0.859750,,,47.287784,,429036.625000,533822.562200,0.021895,-0.002035,A,0.858800,44.389863,49.800105,56.862744,55.102040,sideways,0.858000,0.012821,0.017483,0.005828
159783.SZ,20211028.000000,0.868000,-0.229900,3,,,0.870500,0.867450,,,47.573791,,425407.091000,447177.327200,0.018680,0.000634,C,0.874000,59.292356,66.806115,55.263156,67.741933,sideways,0.868000,0.023041,0.013825,0.018433
159792.SZ,20211221.000000,0.852000,1.792100,4,,,0.883400,0.898300,,,33.082577,,71624.931000,58472.525200,0.024648,-0.051542,C,0.860000,19.556913,,78.350515,74.390243,bear,0.852000,0.002347,-0.002347,-0.011737
513360.SH,20220128.000000,0.368000,2.793300,4,,,0.414300,0.431850,,,17.907796,,122669.253000,85612.672800,0.032026,-0.147852,C,0.388200,9.029420,,82.653060,81.111110,bear,0.368000,0.040761,0.095109,0.092391
513980.SH,20220128.000000,0.622000,1.302900,4,,,0.654600,0.657300,,,29.434964,,26409.697000,18237.393200,0.031350,-0.053705,C,0.638800,22.081957,,76.190475,76.190475,bear,0.622000,0.020900,0.009646,-0.016077
513700.SH,20220207.000000,0.601000,1.349100,5,,,0.635700,0.647250,,,25.437852,,45329.721000,20862.289200,0.029950,-0.071456,C,0.606800,12.546944,,85.858585,82.499999,bear,0.601000,-0.021631,-0.019967,-0.058236
562500.SH,20220215.000000,0.855000,1.423500,4,,,0.864700,0.900850,,,34.650896,,4045.141000,3248.134400,0.037510,-0.050896,C,0.851600,17.909922,,69.696969,43.396226,bear,0.855000,0.008187,0.008187,-0.001170
513180.SH,20220218.000000,0.683000,-1.014500,3,,,0.684000,0.688650,,,47.761412,,371713.051000,467404.391000,0.025727,-0.008204,C,0.683200,54.947811,55.192218,54.999999,58.333331,sideways,0.683000,-0.036603,-0.045388,-0.081991
159892.SZ,20220310.000000,0.584000,1.565200,4,,,0.637600,0.658800,,,21.998944,,20169.611000,13951.362800,0.040607,-0.113540,C,0.600400,13.573033,,82.031249,80.508474,bear,0.584000,-0.017123,-0.171233,0.001712
513130.SH,20220310.000000,0.537000,1.320800,4,,,0.582000,0.622750,,,17.440403,,586339.761000,478270.645400,0.040037,-0.137696,C,0.547000,11.856149,,81.666666,78.217821,bear,0.537000,-0.037244,-0.197393,-0.029795
