ts_code,tier,entry_date,exit_date,entry_price,exit_price,return,hold_days,exit_reason,sell_score,exit_action,core_hits,aux_hits,entry_regime,position_weight
159755.SZ,C,20210917,20210927,1.320000,1.270000,-0.037879,4,drop_spike,1.500000,exit,"{""upper_touch"": false, ""range_break"": false, ""drop_spike"": true}","{""rsi_high"": false, ""kdj_rollover"": false, ""mid_break"": true, ""obv_exit"": false, ""wr_overbought"": false}",sideways,0.200000
159780.SZ,C,20211011,20211018,0.852000,0.858000,0.007042,5,time,0.000000,time,{},{},sideways,0.200000
159781.SZ,B,20211011,20211018,0.844000,0.851000,0.008294,5,time,0.000000,time,{},{},sideways,0.350000
159783.SZ,C,20211011,20211018,0.859000,0.863000,0.004657,5,time,0.000000,time,{},{},sideways,0.200000
159783.SZ,C,20211028,20211104,0.868000,0.884000,0.018433,5,time,0.000000,time,{},{},sideways,0.200000
159792.SZ,C,20211221,20211228,0.852000,0.842000,-0.011737,5,time,0.000000,time,{},{},bear,0.080000
513360.SH,C,20220128,20220209,0.368000,0.403000,0.095109,3,target_hit,1.500000,exit,"{""target_hit"": true, ""failure_drop"": false, ""lower_low"": false}","{""rsi_fade"": false, ""kdj_rollover"": false, ""below_ma5"": false, ""obv_exit"": true}",bear,0.080000
513980.SH,C,20220128,20220208,0.622000,0.615000,-0.011254,2,failure_drop,3.000000,exit,"{""target_hit"": false, ""failure_drop"": true, ""lower_low"": true}","{""rsi_fade"": false, ""kdj_rollover"": false, ""below_ma5"": true, ""obv_exit"": true}",bear,0.080000
513700.SH,C,20220207,20220208,0.601000,0.588000,-0.021631,1,failure_drop,3.000000,exit,"{""target_hit"": false, ""failure_drop"": true, ""lower_low"": true}","{""rsi_fade"": false, ""kdj_rollover"": false, ""below_ma5"": true, ""obv_exit"": true}",bear,0.080000
562500.SH,C,20220215,20220216,0.855000,0.862000,0.008187,1,target_hit,1.500000,exit,"{""target_hit"": true, ""failure_drop"": false, ""lower_low"": false}","{""rsi_fade"": false, ""kdj_rollover"": false, ""below_ma5"": false, ""obv_exit"": true}",bear,0.080000
513180.SH,C,20220218,20220221,0.683000,0.658000,-0.036603,1,drop_spike,2.000000,exit,"{""upper_touch"": false, ""range_break"": false, ""drop_spike"": true}","{""rsi_high"": false, ""kdj_rollover"": false, ""mid_break"": true, ""obv_exit"": true, ""wr_overbought"": false}",sideways,0.200000
159892.SZ,C,20220310,20220311,0.584000,0.574000,-0.017123,1,failure_drop,3.000000,exit,"{""target_hit"": false, ""failure_drop"": true, ""lower_low"": true}","{""rsi_fade"": false, ""kdj_rollover"": false, ""below_ma5"": true, ""obv_exit"": true}",bear,0.080000
513130.SH,C,20220310,20220311,0.537000,0.517000,-0.037244,1,failure_drop,3.000000,exit,"{""target_hit"": false, ""failure_drop"": true, ""lower_low"": true}","{""rsi_fade"": false, ""kdj_rollover"": false, ""below_ma5"": true, ""obv_exit"": true}",bear,0.080000
159766.SZ,C,20220311,20220314,0.970000,0.909000,-0.062887,1,failure_drop,3.000000,exit,"{""target_hit"": false, ""failure_drop"": true, ""lower_low"": true}","{""rsi_fade"": false, ""kdj_rollover"": false, ""below_ma5"": true, ""obv_exit"": true}",bear,0.080000
159892.SZ,C,20220316,20220317,0.532000,0.585000,0.099624,1,target_hit,1.500000,exit,"{""target_hit"": true, ""failure_drop"": false, ""lower_low"": false}","{""rsi_fade"": false, ""kdj_rollover"": false, ""below_ma5"": false, ""obv_exit"": true}",bear,0.080000
513150.SH,C,20220316,20220317,0.723000,0.795000,0.099585,1,target_hit,1.500000,exit,"{""target_hit"": true, ""failure_drop"": false, ""lower_low"": false}","{""rsi_fade"": false, ""kdj_rollover"": false, ""below_ma5"": false, ""obv_exit"": true}",bear,0.080000
513690.SH,C,20220316,20220317,0.759457,0.835112,0.099617,1,target_hit,2.000000,exit,"{""target_hit"": true, ""failure_drop"": false, ""lower_low"": false}","{""rsi_fade"": true, ""kdj_rollover"": false, ""below_ma5"": false, ""obv_exit"": true}",bear,0.080000
562500.SH,C,20220316,20220322,0.750000,0.769000,0.025333,4,target_hit,1.500000,exit,"{""target_hit"": true, ""failure_drop"": false, ""lower_low"": false}","{""rsi_fade"": false, ""kdj_rollover"": false, ""below_ma5"": false, ""obv_exit"": true}",bear,0.080000
562500.SH,C,20220412,20220415,0.695000,0.687000,-0.011511,3,failure_drop,3.000000,exit,"{""target_hit"": false, ""failure_drop"": true, ""lower_low"": true}","{""rsi_fade"": false, ""kdj_rollover"": false, ""below_ma5"": true, ""obv_exit"": true}",bear,0.080000
159796.SZ,C,20220418,20220420,0.869000,0.822000,-0.054085,2,failure_drop,3.000000,exit,"{""target_hit"": false, ""failure_drop"": true, ""lower_low"": true}","{""rsi_fade"": false, ""kdj_rollover"": false, ""below_ma5"": true, ""obv_exit"": true}",bear,0.080000
159751.SZ,C,20220422,20220425,0.684000,0.650000,-0.049708,1,failure_drop,3.000000,exit,"{""target_hit"": false, ""failure_drop"": true, ""lower_low"": true}","{""rsi_fade"": false, ""kdj_rollover"": false, ""below_ma5"": true, ""obv_exit"": true}",bear,0.080000
513020.SH,C,20220422,20220425,0.736000,0.707000,-0.039402,1,failure_drop,3.000000,exit,"{""target_hit"": false, ""failure_drop"": true, ""lower_low"": true}","{""rsi_fade"": false, ""kdj_rollover"": false, ""below_ma5"": true, ""obv_exit"": true}",bear,0.080000
513150.SH,C,20220422,20220425,0.757000,0.725000,-0.042272,1,failure_drop,2.500000,exit,"{""target_hit"": false, ""failure_drop"": true, ""lower_low"": true}","{""rsi_fade"": false, ""kdj_rollover"": false, ""below_ma5"": true, ""obv_exit"": false}",bear,0.080000
513860.SH,C,20220422,20220425,0.470000,0.450000,-0.042553,1,failure_drop,2.500000,exit,"{""target_hit"": false, ""failure_drop"": true, ""lower_low"": true}","{""rsi_fade"": false, ""kdj_rollover"": false, ""below_ma5"": true, ""obv_exit"": false}",bear,0.080000
513980.SH,C,20220422,20220425,0.470000,0.449000,-0.044681,1,failure_drop,3.000000,exit,"{""target_hit"": false, ""failure_drop"": true, ""lower_low"": true}","{""rsi_fade"": false, ""kdj_rollover"": false, ""below_ma5"": true, ""obv_exit"": true}",bear,0.080000
513360.SH,C,20220427,20220429,0.297000,0.320000,0.077441,2,target_hit,2.000000,exit,"{""target_hit"": true, ""failure_drop"": false, ""lower_low"": false}","{""rsi_fade"": true, ""kdj_rollover"": false, ""below_ma5"": false, ""obv_exit"": true}",bear,0.080000
516860.SH,C,20220427,20220428,0.732000,0.714000,-0.024590,1,failure_drop,3.000000,exit,"{""target_hit"": false, ""failure_drop"": true, ""lower_low"": true}","{""rsi_fade"": false, ""kdj_rollover"": false, ""below_ma5"": true, ""obv_exit"": true}",bear,0.080000
562500.SH,C,20220427,20220429,0.626000,0.660000,0.054313,2,target_hit,1.000000,exit,"{""target_hit"": true, ""failure_drop"": false, ""lower_low"": false}","{""rsi_fade"": false, ""kdj_rollover"": false, ""below_ma5"": false, ""obv_exit"": false}",bear,0.080000
513130.SH,C,20220511,20220517,0.516000,0.552000,0.069767,4,upper_touch,2.000000,exit,"{""upper_touch"": true, ""range_break"": false, ""drop_spike"": false}","{""rsi_high"": true, ""kdj_rollover"": false, ""mid_break"": false, ""obv_exit"": false, ""wr_overbought"": true}",sideways,0.200000
